Unnamed: 0,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
1214,"Brennecke, Adolf Wilhelm Hermann",Brennecke Adolf Wilhelm Hermann,Brennecke,Adolf Wilhelm Hermann,30. September 1841
1215,"Brennekam, Karl Friedrich Otto",Brennekam Karl Friedrich Otto,Brennekam,Karl Friedrich Otto,13. Aug. 1842
1216,"Brennert, Hans",Brennert Hans,Brennert,Hans,24.Juni 1870
1217,"Brennglas, Adolf",Brennglas Adolf,Brennglas,Adolf,.
1218,"Brenning, Emil",Brenning Emil,Brenning,Emil,15.April 1837
1219,"Brenta, Emil",Brenta Emil,Brenta,Emil,.
1220,"Brentano, Fritz",Brentano Fritz,Brentano,Fritz,.
1221,"Brentano-Bauck, Anna",Brentano-Bauck Anna,Brentano-Bauck,Anna,10. Juli 1858
1222,"Breo, Meo",Breo Meo,Breo,Meo,.
1223,"Bresch, Johann",Bresch Johann,Bresch,Johann,6. April 1900
1224,"Bresler, Karl Heinrich",Bresler Karl Heinrich,Bresler,Karl Heinrich,19. Dezbr. 1797
1225,"Brethauer, Otto",Brethauer Otto,Brethauer,Otto,.
1226,"Bretschneider, Artur",Bretschneider Artur,Bretschneider,Artur,22. Febr. 1886
1227,"Bretzing, Gustel",Bretzing Gustel,Bretzing,Gustel,11.Novbr. 1879
1228,"Bretzl, Josef",Bretzl Josef,Bretzl,Josef,15. Febr. 1903
1229,"Breusing, Hermann",Breusing Hermann,Breusing,Hermann,7. Juli1815
1230,"Breyther, August Ernst",Breyther August Ernst,Breyther,August Ernst,16. Febr. 1804
1231,"Brichta, Moritz",Brichta Moritz,Brichta,Moritz,9. Juli1867
1232,"Brie, Maria",Brie Maria,Brie,Maria,.
1233,"Brieger, Heinrich Friedrich",Brieger Heinrich Friedrich,Brieger,Heinrich Friedrich,.
1234,"Brieger, Alfred",Brieger Alfred,Brieger,Alfred,15.Mai 1869
1235,"Brieger-Wasservogel, Lothar",Brieger-Wasservogel Lothar,Brieger-Wasservogel,Lothar,6. Septbr. 1879
1236,"Briegleb, Elard",Briegleb Elard,Briegleb,Elard,5.Mai 1822
1237,"Brieke, Ernst",Brieke Ernst,Brieke,Ernst,.
1238,"Briesen, Emmy",Briesen Emmy,Briesen,Emmy,24.Dezbr. 1857
1239,"Briesen, Fritz von",Briesen Fritz,Briesen,Fritz,19.August 1875
1240,"Briesen, Oskar von",Briesen Oskar,Briesen,Oskar,17.März 1840
1241,"Brill, Ludwig",Brill Ludwig,Brill,Ludwig,15. Febr.1838
1242,"Brinckman, John",Brinckman John,Brinckman,John,3. Juli1814
