Original,Name Vorname,Name,Vorname,Titel,Sonstiges
"Metzmacher, Lehrerin Albertina",Metzmacher Lehrerin Albertina,Metzmacher,Lehrerin Albertina,,
"Metzner, Antonie",Metzner Antonie,Metzner,Antonie,,
"Metzsch, Alma von",Metzsch Alma,Metzsch,Alma,,von
"Mewes, Ida",Mewes Ida,Mewes,Ida,,
"Mews, Frau Elise Auguste",Mews Auguste Elise,Mews,Auguste Elise,Frau,
"Meyer, Fräulein Auguste",Meyer Auguste Fräulein,Meyer,Auguste Fräulein,,
"Meyer, Bertha",Meyer Bertha,Meyer,Bertha,,
"Meyer-Cohn, Frau Helene",Meyer-Cohn Helene,Meyer-Cohn,Helene,Frau,
"Meyer, Frl. Elisabeth",Meyer Elisabeth,Meyer,Elisabeth,Frl.,
"Meyer, Elsbeth",Meyer Elsbeth,Meyer,Elsbeth,,
"Meyer-Foerster, Elsbeth",Meyer-Foerster Elsbeth,Meyer-Foerster,Elsbeth,,
"Meyer, Gertraut",Meyer Gertraut,Meyer,Gertraut,,
"Meyer-Housselle, Frau Charlotte",Meyer-Housselle Charlotte,Meyer-Housselle,Charlotte,Frau,
"Meyer, Karoline",Meyer Karoline,Meyer,Karoline,,
"Meyer, L",Meyer L,Meyer,L,,
"Meyer, Marianne",Meyer Marianne,Meyer,Marianne,,
"Meyer, Martha",Meyer Martha,Meyer,Martha,,
"Meyer, Rahel",Meyer Rahel,Meyer,Rahel,,
"Meyer, Sarah",Meyer Sarah,Meyer,Sarah,,
"Meyer v. Schauensee, Luise",Meyer v. Schauensee Luise,Meyer v. Schauensee,Luise,,
"Meyer, Sophie",Meyer Sophie,Meyer,Sophie,,
"Meyer, Theodora",Meyer Theodora,Meyer,Theodora,,
"Meyerhof, Frl. Leonie",Meyerhof Leonie,Meyerhof,Leonie,Frl.,
"Meyn, Juliane",Meyn Juliane,Meyn,Juliane,,
"Meynier, Luise",Meynier Luise,Meynier,Luise,,
"Meysenbug, Frl. Malvida v",Meysenbug Malvida,Meysenbug,Malvida,Frl.,v
"Michael, C",Michael C,Michael,C,,
"Michael, C",Michael C,Michael,C,,
"Michaëlis, Frl. Henriette",Michaëlis Henriette,Michaëlis,Henriette,Frl.,
"Michaëlis de Vasconcellos, Frau Karoline",Michaëlis de Vasconcellos Karoline,Michaëlis de Vasconcellos,Karoline,Frau,
"Michaelis, Frau Kath",Michaelis Kath,Michaelis,Kath,Frau,
"Michaelis, Frau Maria Magd",Michaelis Magd Maria,Michaelis,Magd Maria,Frau,
"Michaelson, Margarete",Michaelson Margarete,Michaelson,Margarete,,
"Michałowska, Angelika von",Michałowska Angelika,Michałowska,Angelika,,von
"Michałowska, Angelika v",Michałowska Angelika,Michałowska,Angelika,,v
"Michaut, Sophie",Michaut Sophie,Michaut,Sophie,,
"Michel, Frau Marie",Michel Marie,Michel,Marie,Frau,
"Mickiewicza, Adama",Mickiewicza Adama,Mickiewicza,Adama,,
"Mierendorff, Johanna",Mierendorff Johanna,Mierendorff,Johanna,,
"Miessner, Frl. Elisabeth",Miessner Elisabeth,Miessner,Elisabeth,Frl.,
"Miethe, Karoline",Miethe Karoline,Miethe,Karoline,,
"Migerka, Frl. Helene",Migerka Helene,Migerka,Helene,Frl.,
"Migerka, Frau Katharina",Migerka Katharina,Migerka,Katharina,Frau,
"Mikolasch, Ida",Mikolasch Ida,Mikolasch,Ida,,
"Milanis, C",Milanis C,Milanis,C,,
Milár-Gersdorf,Milár-Gersdorf,Milár-Gersdorf,,,
"Milde, Karoline S. J",Milde Karoline J S.,Milde,Karoline J S.,,
"Milde, Karoline S. J",Milde Karoline J S.,Milde,Karoline J S.,,
"Milde, M",Milde M,Milde,M,,
"Milde, Frl. Natalie v",Milde Natalie,Milde,Natalie,Frl.,v
"Mildheim, Anna",Mildheim Anna,Mildheim,Anna,,
"Milford, Lola",Milford Lola,Milford,Lola,,
"Mindermann, Marie Christiane",Mindermann Christiane Marie,Mindermann,Christiane Marie,,
Minna,Minna,Minna,,,
"Minra, F. v",Minra F.,Minra,F.,,v
Miradek,Miradek,Miradek,,,
"Mirani, Frl. Therese",Mirani Therese,Mirani,Therese,Frl.,
"Mirbach, Frl. Margarete",Mirbach Margarete,Mirbach,Margarete,Frl.,
"Mirbach, Frl. Maria",Mirbach Maria,Mirbach,Maria,Frl.,
"Mirus, Elise",Mirus Elise,Mirus,Elise,,
"Misch-Kastner, Frau Mary",Misch-Kastner Mary,Misch-Kastner,Mary,Frau,
"Misch, Mary",Misch Mary,Misch,Mary,,
"Mischler, Frau Marie",Mischler Marie,Mischler,Marie,Frau,
"Missfeldt, Agnes Karoline Eleonore",Missfeldt Karoline Eleonore Agnes,Missfeldt,Karoline Eleonore Agnes,,
"Mittentzwei, Clara",Mittentzwei Clara,Mittentzwei,Clara,,
"Mitzenius, Frl. Julie",Mitzenius Julie,Mitzenius,Julie,Frl.,
"Mitzenius, Frl. Karoline",Mitzenius Karoline,Mitzenius,Karoline,Frl.,
