Original,Name Vorname,Name,Vorname,Titel,Sonstiges
"Zeromski, Anna von",Zeromski Anna,Zeromski,Anna,,von
"Zerzog, Julie v",Zerzog Julie,Zerzog,Julie,,v
"Zetkin, Frau Clara",Zetkin Clara,Zetkin,Clara,Frau,
"Ziegelhain, B. v",Ziegelhain B.,Ziegelhain,B.,,v
"Ziegler, Christiane Marianne von",Ziegler Christiane Marianne,Ziegler,Christiane Marianne,,von
"Ziegler, Clara",Ziegler Clara,Ziegler,Clara,,
"Ziegler u. Klipphausen, Frl. Helene v",Ziegler u. Klipphausen Helene,Ziegler u. Klipphausen,Helene,Frl.,v
"Ziegler, Frl. Regine",Ziegler Regine,Ziegler,Regine,Frl.,
"Ziffer, Frau W",Ziffer W,Ziffer,W,Frau,
"Zilcken, Detta",Zilcken Detta,Zilcken,Detta,,
"Zimmerer, E. M",Zimmerer E. M,Zimmerer,E. M,,
"Zimmermann, A",Zimmermann A,Zimmermann,A,,
"Zimmermann, Frau Elsa Ruth von",Zimmermann Ruth Elsa,Zimmermann,Ruth Elsa,Frau,von
"Zimmermann, Helene",Zimmermann Helene,Zimmermann,Helene,,
"Zimmermann-Schoepp, Frau M",Zimmermann-Schoepp M,Zimmermann-Schoepp,M,Frau,
"Zimmermann, Wernine",Zimmermann Wernine,Zimmermann,Wernine,,
"Zimmermann, Wernine",Zimmermann Wernine,Zimmermann,Wernine,,
"Zimmern, Helene",Zimmern Helene,Zimmern,Helene,,
"Zinck, Auguste",Zinck Auguste,Zinck,Auguste,,
"Zingeler, Frau A",Zingeler A,Zingeler,A,Frau,
"Zink-Maishof, Frl. Jenny",Zink-Maishof Jenny,Zink-Maishof,Jenny,Frl.,
"Zinn, Maria",Zinn Maria,Zinn,Maria,,
"Zitelmann, Frl. Katharine",Zitelmann Katharine,Zitelmann,Katharine,Frl.,
"Zitz-Halein, Kathinka",Zitz-Halein Kathinka,Zitz-Halein,Kathinka,,
"Zitz-Halein, Kathinka",Zitz-Halein Kathinka,Zitz-Halein,Kathinka,,
"Zitzewitz, Auguste v",Zitzewitz Auguste,Zitzewitz,Auguste,,v
"Zix, Frau Olga",Zix Olga,Zix,Olga,Frau,
"Zoeller (auch Zoeller-Lionheart), Charlotte",Zoeller (auch Zoeller-Lionheart) Charlotte,Zoeller (auch Zoeller-Lionheart),Charlotte,,
"Zöge, Anna Sibylle",Zöge Anna Sibylle,Zöge,Anna Sibylle,,
"Zöhrer, Josephine",Zöhrer Josephine,Zöhrer,Josephine,,
"Zollikofer, Dora",Zollikofer Dora,Zollikofer,Dora,,
"Zollikofer, Frl. Hedwig",Zollikofer Hedwig,Zollikofer,Hedwig,Frl.,
"Zolling, Agnes",Zolling Agnes,Zolling,Agnes,,
"Zöllner, Anna",Zöllner Anna,Zöllner,Anna,,
"Zöllner, Caroline von",Zöllner Caroline,Zöllner,Caroline,,von
"Zorn, Josephine",Zorn Josephine,Zorn,Josephine,,
"Zuliany, Emilie",Zuliany Emilie,Zuliany,Emilie,,
"Zunk, Frau Johanna",Zunk Johanna,Zunk,Johanna,Frau,
"Zwierlein, Baronin v",Zwierlein,Zwierlein,,Baronin,v
"Aabel, Maria",Aabel Maria,Aabel,Maria,,
"Aachen, Maria Johanna Katharina Erika Elisabeth von",Aachen Maria Elisabeth Johanna Erika Katharina,Aachen,Maria Elisabeth Johanna Erika Katharina,,von
"Abel, Franziska",Abel Franziska,Abel,Franziska,,
"Ablass, Julie",Ablass Julie,Ablass,Julie,,
"Abraham-Rieve, Frau Catharina",Abraham-Rieve Catharina,Abraham-Rieve,Catharina,Frau,
"Abt, Hedwig",Abt Hedwig,Abt,Hedwig,,
"Adelaide, Marie",Adelaide Marie,Adelaide,Marie,,
"Adelmann, Margarete",Adelmann Margarete,Adelmann,Margarete,,
"Adelung, Friederike",Adelung Friederike,Adelung,Friederike,,
"Adelung, Olga v",Adelung Olga,Adelung,Olga,,v
"Adelung, Sophie von",Adelung Sophie,Adelung,Sophie,,von
"Aden, S",Aden S,Aden,S,,
"Adler, Helene",Adler Helene,Adler,Helene,,
"Adlersfeld-Ballestrem, Freydorf, Hillern u.a. Autorinnen",Adlersfeld-Ballestrem Hillern u.a. Autorinnen,Adlersfeld-Ballestrem,Hillern u.a. Autorinnen,,
"Adriani, J",Adriani J,Adriani,J,,
Africanus,Africanus,Africanus,,,
"Agnes, Pauline Luise Agnes",Agnes Pauline Luise Agnes,Agnes,Pauline Luise Agnes,,
"Ahlborn, Luise",Ahlborn Luise,Ahlborn,Luise,,
"Ahlefeld, Charlotte von",Ahlefeld Charlotte,Ahlefeld,Charlotte,,von
"Albert, E",Albert E,Albert,E,,
"Albert, M",Albert M,Albert,M,,
"Alberti, Friederike",Alberti Friederike,Alberti,Friederike,,
"Alberti, Sophie",Alberti Sophie,Alberti,Sophie,,
"Albrecht, Johanna Sophie Dorothea",Albrecht Sophie Dorothea Johanna,Albrecht,Sophie Dorothea Johanna,,
"Alexandra, Amalia, Prinzessin von Bayern",Alexandra Amalia,,Alexandra Amalia,Prinzessin von Bayern,
"Algenstädt, Luise",Algenstädt Luise,Algenstädt,Luise,,
Allerlei aus Bregenz,Allerlei aus Bregenz,Allerlei aus Bregenz,,,
"Almar, Th",Almar Th,Almar,Th,,
"Almásy, Wilhelmine, Gräfin von",Almásy Wilhelmine,Almásy,Wilhelmine,Gräfin,von
"Almers, Erna",Almers Erna,Almers,Erna,,
"Amalie, Herzogin von Sachsen",Amalie,,Amalie,Herzogin von Sachsen,
"Amberg, Hedwig",Amberg Hedwig,Amberg,Hedwig,,
"Ancel, Marie",Ancel Marie,Ancel,Marie,,
"Anders, Ida",Anders Ida,Anders,Ida,,
"Andersen, E",Andersen E,Andersen,E,,
"Anderten, Eta v",Anderten Eta,Anderten,Eta,,v
"Andor, Paul",Andor Paul,Andor,Paul,,
"Andreae, Frida",Andreae Frida,Andreae,Frida,,
"Anhalt-Zerbst, Sophie Auguste Prinzessin v",Anhalt-Zerbst Sophie Auguste,Anhalt-Zerbst,Sophie Auguste,Prinzessin,v
"Anhuth, Clara",Anhuth Clara,Anhuth,Clara,,
"Anjel, Ella",Anjel Ella,Anjel,Ella,,
"Anklam, Luise",Anklam Luise,Anklam,Luise,,
"Anna, Tante",Anna Tante,Anna,Tante,,
Anna von Mecklenburg,Anna,,Anna,,von Mecklenburg
"Anneke, Mathilde Franziska von",Anneke Franziska Mathilde,Anneke,Franziska Mathilde,,von
"Anschel, Julie Philippine Clara",Anschel Philippine Julie Clara,Anschel,Philippine Julie Clara,,
"Antoni, Johanna Eleonore",Antoni Eleonore Johanna,Antoni,Eleonore Johanna,,
"Apranzow, Minna",Apranzow Minna,Apranzow,Minna,,
"Arbter, Emma Wanda von",Arbter Emma Wanda,Arbter,Emma Wanda,,von
"Aren, F. M",Aren M F.,Aren,M F.,,
"Armstrong, B. L",Armstrong B. L,Armstrong,B. L,,
"Arndts, Bertha",Arndts Bertha,Arndts,Bertha,,
"Arndts, Maria",Arndts Maria,Arndts,Maria,,
"Arnefeldt, F",Arnefeldt F,Arnefeldt,F,,
"Arnim, Bettina von",Arnim Bettina,Arnim,Bettina,,von
"Arnold, Hans",Arnold Hans,Arnold,Hans,,
"Arnold, S",Arnold S,Arnold,S,,
"Artaria, R",Artaria R,Artaria,R,,
"Artner, Maria Theresia von",Artner Theresia Maria,Artner,Theresia Maria,,von
"Artow, E. von",Artow E.,Artow,E.,,von
"Asbahr, Anna",Asbahr Anna,Asbahr,Anna,,
"Aschenberg, Th. von",Aschenberg Th.,Aschenberg,Th.,,von
"Ascheraden, M. v",Ascheraden M.,Ascheraden,M.,,v
"Asmus, Frau Pastor",Asmus Pastor,Asmus,Pastor,Frau,
"Assing, Ludmilla",Assing Ludmilla,Assing,Ludmilla,,
"Assing, Rosa Maria",Assing Rosa Maria,Assing,Rosa Maria,,
"Aston, Luise Franziska",Aston Franziska Luise,Aston,Franziska Luise,,
"August, Otto",August Otto,August,Otto,,
"Augusti, Bertha",Augusti Bertha,Augusti,Bertha,,
"Augusti, Brigitte",Augusti Brigitte,Augusti,Brigitte,,
"Augusti, Brigitte",Augusti Brigitte,Augusti,Brigitte,,
"Augustin, Marie, Baronin von",Augustin Marie,Augustin,Marie,Baronin,von
"Augustine, Schwester",Augustine,,Augustine,,Schwester
"Aurich, Frau Anna v",Aurich Anna,Aurich,Anna,Frau,v
"Ausfeld, Anna",Ausfeld Anna,Ausfeld,Anna,,
"Ava, Frau",Ava,Ava,,Frau,
"Averdieck, Elise",Averdieck Elise,Averdieck,Elise,,
"Bach, Emilie",Bach Emilie,Bach,Emilie,,
"Bacharacht, Therese von",Bacharacht Therese,Bacharacht,Therese,,von
"Bachmann-Göttisheim, Frau Marie",Bachmann-Göttisheim Marie,Bachmann-Göttisheim,Marie,Frau,
"Bachofner-Buxtorf, A",Bachofner-Buxtorf A,Bachofner-Buxtorf,A,,
"Bacsanyi, Gabriele von",Bacsanyi Gabriele,Bacsanyi,Gabriele,,von
"Baden-Durlach, Elisabeth, Prinzessin von",Baden-Durlach Prinzessin von,Baden-Durlach,Prinzessin von,,
"Baireuth, Erdmuthe Sophie, Markgräfin von",Baireuth Markgräfin von,Baireuth,Markgräfin von,,
"Balás-Kisócz, Frau Marie von",Balás-Kisócz Marie,Balás-Kisócz,Marie,Frau,von
"Balkow, Caroline",Balkow Caroline,Balkow,Caroline,,
"Ballestrem, Adlersfeld-, Eufemia, Gräfin",Ballestrem Eufemia,Ballestrem,Eufemia,Gräfin,Adlersfeld
"Baltz, Johanna",Baltz Johanna,Baltz,Johanna,,
"Bamberger, Antoinette",Bamberger Antoinette,Bamberger,Antoinette,,
"Bandemer, Susanne von",Bandemer Susanne,Bandemer,Susanne,,von
"Bang, Else",Bang Else,Bang,Else,,
"Banze, Angela",Banze Angela,Banze,Angela,,
"Barazetti, Sophie",Barazetti Sophie,Barazetti,Sophie,,
"Barbara, Schwester",Barbara,,Barbara,,Schwester
"Bardeleben, Eveline Ernestine v",Bardeleben Ernestine Eveline,Bardeleben,Ernestine Eveline,,v
"Baring, Natalie, Leipzig",Baring Leipzig,Baring,Leipzig,,
"Barnay, Ilka",Barnay Ilka,Barnay,Ilka,,
"Bartels, Lehrerin Elise",Bartels Lehrerin Elise,Bartels,Lehrerin Elise,,
"Bartels, Wanda v",Bartels Wanda,Bartels,Wanda,,v
"Barth, M",Barth M,Barth,M,,
"Bartholomew, Frau Mary",Bartholomew Mary,Bartholomew,Mary,Frau,
"Bartosch, Amalie",Bartosch Amalie,Bartosch,Amalie,,
"Battke, Frau Ada",Battke Ada,Battke,Ada,Frau,
"Baudissin, Gräfin Eva v",Baudissin Eva,Baudissin,Eva,Gräfin,v
"Baudissin, Karoline Adelheid Cornelia Gräfin von",Baudissin Cornelia Karoline Adelheid,Baudissin,Cornelia Karoline Adelheid,Gräfin,von
"Baudissin, Sophie, Gräfin Wolf-B",Baudissin Gräfin Wolf-B,Baudissin,Gräfin Wolf-B,,
"Bauer, Karoline",Bauer Karoline,Bauer,Karoline,,
"Bauer, Katharina",Bauer Katharina,Bauer,Katharina,,
"Bauer, Klara",Bauer Klara,Bauer,Klara,,
"Bauer, Marie",Bauer Marie,Bauer,Marie,,
"Bauer, Martin",Bauer Martin,Bauer,Martin,,
"Bauermeister, Frl. Clara",Bauermeister Clara,Bauermeister,Clara,Frl.,
"Baumfeld, Frl. Lisa",Baumfeld Lisa,Baumfeld,Lisa,Frl.,
"Baumgart, Helene",Baumgart Helene,Baumgart,Helene,,
"Baumm-Boeck, Frau Else",Baumm-Boeck Else,Baumm-Boeck,Else,Frau,
"Baussner, Marie von",Baussner Marie,Baussner,Marie,,von
"Bayer, Ottilie",Bayer Ottilie,Bayer,Ottilie,,
"Bayern, Alexandra Amalie, Prinzessin von",Alexandra Amalie,,Alexandra Amalie,Prinzessin von Bayern,
"Beaulieu, Gertraut Châles de",Beaulieu Getraut,Beaulieu,Getraut,Châles,de
"Becher, Frau Emmy",Becher Emmy,Becher,Emmy,Frau,
"Bechtel, Frl. Helene",Bechtel Helene,Bechtel,Helene,Frl.,
"Bechtold, Angelika",Bechtold Angelika,Bechtold,Angelika,,
"Bechtolsheim, Julie, Freifrau von",Bechtolsheim Julie,Bechtolsheim,Julie,Freifrau,von
"Beck, Karoline",Beck Karoline,Beck,Karoline,,
"Becker, Adeline",Becker Adeline,Becker,Adeline,,
"Becker, Frl. Anna",Becker Anna,Becker,Anna,Frl.,
"Becker, Auguste",Becker Auguste,Becker,Auguste,,
"Becker, Frl. Marie",Becker Marie,Becker,Marie,Frl.,
"Beckert, Friederike",Beckert Friederike,Beckert,Friederike,,
"Beeg, Marie",Beeg Marie,Beeg,Marie,,
"Behr, Sophie",Behr Sophie,Behr,Sophie,,
"Bellamine, Frau",Bellamine,Bellamine,,Frau,
"Bellamine-Speyer, Frau",Bellamine-Speyer,Bellamine-Speyer,,Frau,
"Below, Hans von",Below Hans,Below,Hans,,von
"Below, Frau Hedwig von",Below Hedwig,Below,Hedwig,Frau,von
"Below, Ottilie von",Below Ottilie,Below,Ottilie,,von
"Benda, Frau Margarete",Benda Margarete,Benda,Margarete,Frau,
"Bender, Auguste, Heidelberg",Bender Heidelberg,Bender,Heidelberg,,
"Benfey-Schuppe, A",Benfey-Schuppe A,Benfey-Schuppe,A,,
"Beniczky-Bajźa, Helene von",Beniczky-Bajźa Helene,Beniczky-Bajźa,Helene,,von
"Bennigsen, Margarete von",Bennigsen Margarete,Bennigsen,Margarete,,von
"Bentheim-Steinfurth, Caroline Ferdinande Marie Elisabeth Magdalene, Gräfin von",Bentheim-Steinfurth Caroline Ferdinande Marie Elisabeth Magdalene,Bentheim-Steinfurth,Caroline Ferdinande Marie Elisabeth Magdalene,Gräfin,von
"Berchtold, Marie Anne, Reichsfreiin von",Berchtold Marie Anne,Berchtold,Marie Anne,Reichsfreiin,von
"Berens, Frau Clara",Berens Clara,Berens,Clara,Frau,
"Berg, Georg",Berg Georg,Berg,Georg,,
"Berg, Maria vom",Berg Maria,Berg,Maria,,vom
"Berg, Wilh",Berg Wilh,Berg,Wilh,,
"Berge, Felicitas vom",Berge Felicitas,Berge,Felicitas,,vom
"Bergen, Alexander",Bergen Alexander,Bergen,Alexander,,
"Bergen, Ewald",Bergen Ewald,Bergen,Ewald,,
"Berger, Adele",Berger Adele,Berger,Adele,,
"Berger, Ilse",Berger Ilse,Berger,Ilse,,
"Berger, Johanna",Berger Johanna,Berger,Johanna,,
"Berger, Julie",Berger Julie,Berger,Julie,,
"Berl, Wilhelmine",Berl Wilhelmine,Berl,Wilhelmine,,
"Berlepsch, Emilie von",Berlepsch Emilie,Berlepsch,Emilie,,von
"Berlepsch, Goswina v",Berlepsch Goswina,Berlepsch,Goswina,,v
"Berlepsch, Freifrau Lina von",Berlepsch Lina,Berlepsch,Lina,Freifrau,von
"Bernau, Anna",Bernau Anna,Bernau,Anna,,
Bernhard,Bernhard,Bernhard,,,
"Bernhard, Frl. Clara",Bernhard Clara,Bernhard,Clara,Frl.,
"Bernhard, Julie",Bernhard Julie,Bernhard,Julie,,
"Bernhard, K",Bernhard K,Bernhard,K,,
"Bernhardi, Elisabeth Eleonore",Bernhardi Eleonore Elisabeth,Bernhardi,Eleonore Elisabeth,,
"Bernhardi, Luise",Bernhardi Luise,Bernhardi,Luise,,
"Bernhardi, Sophie",Bernhardi Sophie,Bernhardi,Sophie,,
"Bernow, M. von",Bernow M.,Bernow,M.,,von
"Bernstein, Karoline",Bernstein Karoline,Bernstein,Karoline,,
"Berthen, Jutha",Berthen Jutha,Berthen,Jutha,,
"Berthold, C",Berthold C,Berthold,C,,
"Berthold, Helene",Berthold Helene,Berthold,Helene,,
"Berynda-Czajkowska, Frau Carla v",Berynda-Czajkowska Carla,Berynda-Czajkowska,Carla,Frau,v
Bettina,Bettina,Bettina,,,
"Betty, Tante",Betty,,Betty,,Tante
"Beulwitz, Karoline von",Beulwitz Karoline,Beulwitz,Karoline,,von
"Beust, Phil. Wilhelmine Gräfin von",Beust Phil. Wilhelmine,Beust,Phil. Wilhelmine,Gräfin,von
"Bezeredy, Amalie",Bezeredy Amalie,Bezeredy,Amalie,,
"Bickel, Auguste",Bickel Auguste,Bickel,Auguste,,
"Billington, Elis",Billington Elis,Billington,Elis,,
"Binder, Helene",Binder Helene,Binder,Helene,,
"Binzer, Emilie, Freifrau von",Binzer Emilie,Binzer,Emilie,Freifrau,von
"Birch-Pfeiffer, Charlotte",Birch-Pfeiffer Charlotte,Birch-Pfeiffer,Charlotte,,
"Bissing, Henriette v",Bissing Henriette,Bissing,Henriette,,v
"Bitter, Frau Reg.-Rat Anna",Bitter Anna,Bitter,Anna,Frau Reg.-Rat,
"Blankenburg, R",Blankenburg R,Blankenburg,R,,
"Blarhamberg, F. de",Blarhamberg F.,Blarhamberg,F.,,de
"Bloch, Ida",Bloch Ida,Bloch,Ida,,
"Blöde, Marie Antoinette",Blöde Antoinette Marie,Blöde,Antoinette Marie,,
"Blohm, Ottilie",Blohm Ottilie,Blohm,Ottilie,,
"Blomberg, Katharina Sophie Friederike, Freifrau von",Blomberg Katharina Sophie Friederike,Blomberg,Katharina Sophie Friederike,Freifrau,von
"Bluhm, Agnes, Dr. med",Bluhm Agnes,Bluhm,Agnes,Dr. med,
"Blumberg, Malwina",Blumberg Malwina,Blumberg,Malwina,,
"Blumenthal, Louise Johanne Leopoldine",Blumenthal Leopoldine Johanne Louise,Blumenthal,Leopoldine Johanne Louise,,
"Blüthner, Julie",Blüthner Julie,Blüthner,Julie,,
"Bock, Annie",Bock Annie,Bock,Annie,,
"Bock, Frau Minna",Bock Minna,Bock,Minna,Frau,
"Böckel, Marie",Böckel Marie,Böckel,Marie,,
"Böcler, Anna",Böcler Anna,Böcler,Anna,,
"Böcler, Anna",Böcler Anna,Böcler,Anna,,
"Boehmer, Hedwig",Boehmer Hedwig,Boehmer,Hedwig,,
"Boettcher, Frau Adele",Boettcher Adele,Boettcher,Adele,Frau,
"Boettcher, Dorothea",Boettcher Dorothea,Boettcher,Dorothea,,
"Bogler, Frau Agnes",Bogler Agnes,Bogler,Agnes,Frau,
"Bogner, Antonie",Bogner Antonie,Bogner,Antonie,,
"Bogs, Frau Marie",Bogs Marie,Bogs,Marie,Frau,
"Bohde, Hermine",Bohde Hermine,Bohde,Hermine,,
"Böhl v. Faber, Cäcilie",Böhl v. Faber Cäcilie,Böhl v. Faber,Cäcilie,,
"Böhlau, Helene",Böhlau Helene,Böhlau,Helene,,
"Bohlen, Agnes von",Bohlen Agnes,Bohlen,Agnes,,von
"Bolgiani, Valesca",Bolgiani Valesca,Bolgiani,Valesca,,
"Bölte, Amalie Elise Marianne",Bölte Amalie Elise Marianne,Bölte,Amalie Elise Marianne,,
"Boltz, Ida",Boltz Ida,Boltz,Ida,,
"Bolza, Eugenie",Bolza Eugenie,Bolza,Eugenie,,
"Borch, Marie von",Borch Marie,Borch,Marie,,von
"Bordes, Freifrau Katharina Maria Ludovika",Bordes Maria Ludovika Katharina,Bordes,Maria Ludovika Katharina,Freifrau,
"Borkowsky, Anna",Borkowsky Anna,Borkowsky,Anna,,
"Borne, Frl. Maxa von dem",Borne Maxa dem,Borne,Maxa dem,Frl.,von
"Börner-Sandrini, Marie",Börner-Sandrini Marie,Börner-Sandrini,Marie,,
"Bornstedt, Luise von",Bornstedt Luise,Bornstedt,Luise,,von
"Bornstein, Karoline",Bornstein Karoline,Bornstein,Karoline,,
"Borries, Sophie",Borries Sophie,Borries,Sophie,,
"Bosse, Frl. Auguste v",Bosse Auguste,Bosse,Auguste,Frl.,v
"Boy-Ed, Ida",Boy-Ed Ida,Boy-Ed,Ida,,
"Boy, Johanna",Boy Johanna,Boy,Johanna,,
"Boyen, Marc",Boyen Marc,Boyen,Marc,,
"Boysen-Stroth, Elisabeth Charlotte",Boysen-Stroth Charlotte Elisabeth,Boysen-Stroth,Charlotte Elisabeth,,
"Brachmann, Karol. Luise",Brachmann Luise Karol.,Brachmann,Luise Karol.,,
"Brand, Frau Silvia",Brand Silvia,Brand,Silvia,Frau,
"Brandecker, Frau Amelie",Brandecker Amelie,Brandecker,Amelie,Frau,
"Brandenburg-Baireuth, Friederike Sophie Wilhelmine, Markgräfin von",Brandenburg-Baireuth Friederike Sophie Wilhelmine,Brandenburg-Baireuth,Friederike Sophie Wilhelmine,Markgräfin,von
"Brandenburg, Kurfürstin Louise Henriette von",Brandenburg Henriette Louise,Brandenburg,Henriette Louise,Kurfürstin,von
"Brandenburg, Frau N. von",Brandenburg N.,Brandenburg,N.,Frau,von
"Brandes, Mary",Brandes Mary,Brandes,Mary,,
"Brandis, Frau Marie",Brandis Marie,Brandis,Marie,Frau,
"Braun, Isabella",Braun Isabella,Braun,Isabella,,
"Braun, Klara",Braun Klara,Braun,Klara,,
"Braun, Frau Rosalie",Braun Rosalie,Braun,Rosalie,Frau,
"Brauneck, Louise v",Brauneck Louise,Brauneck,Louise,,v
"Braunschweig, Sophie Dorothea, Prinzessin von",Braunschweig Sophie Dorothea,Braunschweig,Sophie Dorothea,Prinzessin,von
"Brechten, Marga",Brechten Marga,Brechten,Marga,,
"Breckheyde, C. v",Breckheyde C.,Breckheyde,C.,,v
"Bredow-Görne, Adele Elisa, Gräfin von",Bredow-Görne Adele Elisa,Bredow-Görne,Adele Elisa,Gräfin,von
"Bredow, Luise von",Bredow Luise,Bredow,Luise,,von
"Brehmer-Gaffron, Antonie, Triest",Brehmer-Gaffron Antonie,Brehmer-Gaffron,Antonie,,Triest
"Brenning, Katharina",Brenning Katharina,Brenning,Katharina,,
"Brentano, Sophie",Brentano Sophie,Brentano,Sophie,,
"Brettauer, Clotilde",Brettauer Clotilde,Brettauer,Clotilde,,
"Brettmann, Wilhelmine",Brettmann Wilhelmine,Brettmann,Wilhelmine,,
"Brewitz, Frau Elise",Brewitz Elise,Brewitz,Elise,Frau,
"Briesen, Frl. Emmy v",Briesen Emmy,Briesen,Emmy,Frl.,v
"Brochowska, Pauline Marie Julie von",Brochowska Julie Pauline Marie,Brochowska,Julie Pauline Marie,,von
"Brockdorff, Sophie, Gräfin von",Brockdorff Sophie,Brockdorff,Sophie,Gräfin,von
"Brocker, Maria",Brocker Maria,Brocker,Maria,,
"Broekel, Johanna Antonie",Broekel Antonie Johanna,Broekel,Antonie Johanna,,
"Brook, A",Brook A,Brook,A,,
"Brown, Pauline",Brown Pauline,Brown,Pauline,,
"Brühl, Johanne Christiane Margarete von",Brühl Johanne Christiane Margarete,Brühl,Johanne Christiane Margarete,,von
"Brun, Fried. Sophie Christiane",Brun Sophie Christiane Fried.,Brun,Sophie Christiane Fried.,,
"Brun-Barnow, Ida von",Brun-Barnow Ida,Brun-Barnow,Ida,,von
"Brunner, Virginia",Brunner Virginia,Brunner,Virginia,,
"Buch, Frl. J. von",Buch J.,Buch,J.,Frl.,von
"Büchner, Luise",Büchner Luise,Büchner,Luise,,
"Buchwald, Ina",Buchwald Ina,Buchwald,Ina,,
"Bücker, Frau Clara",Bücker Clara,Bücker,Clara,Frau,
"Buddenbrock, Mathilde von",Buddenbrock Mathilde,Buddenbrock,Mathilde,,von
Bufalo della Valle,Bufalo della Valle,Bufalo della Valle,,,
"Bülow, Frida Freiin v",Bülow Frida,Bülow,Frida,Freiin,v
"Bülow, Margarete von",Bülow Margarete,Bülow,Margarete,,von
"Bülow, Paula von",Bülow Paula,Bülow,Paula,,von
"Bülzingslöwen, Johanna v",Bülzingslöwen Johanna,Bülzingslöwen,Johanna,,v
"Bünau, Gräfin Margarete Henriette von",Bünau Henriette Margarete,Bünau,Henriette Margarete,Gräfin,von
"Burger, L",Burger L,Burger,L,,
"Bürger, Marie Christiane Elise",Bürger Christiane Marie Elise,Bürger,Christiane Marie Elise,,
"Burgloh, Fr",Burgloh Fr,Burgloh,Fr,,
"Burkhardt, Paula",Burkhardt Paula,Burkhardt,Paula,,
"Busch, Thekla",Busch Thekla,Busch,Thekla,,
"Busek, Agnes",Busek Agnes,Busek,Agnes,,
"Buttlar, Henriette von",Buttlar Henriette,Buttlar,Henriette,,von
"Caballero, Fernan",Caballero Fernan,Caballero,Fernan,,
"Caland, Elisabeth",Caland Elisabeth,Caland,Elisabeth,,
"Calenberg, Philippine v",Calenberg Philippine,Calenberg,Philippine,,v
"Callot, Magdalene, Freifrau von",Callot Freifrau von,Callot,Freifrau von,,
"Calm, Marie",Calm Marie,Calm,Marie,,
"Camenisch, Frl. Anna Katharina",Camenisch Anna Katharina,Camenisch,Anna Katharina,Frl.,
"Camenisch, Nina",Camenisch Nina,Camenisch,Nina,,
"Campe, Elise",Campe Elise,Campe,Elise,,
"Cannot, Maria",Cannot Maria,Cannot,Maria,,
"Canz, Frl. W",Canz W,Canz,W,Frl.,
"Capitani-Sprecher, Frau Elisa",Capitani-Sprecher Elisa,Capitani-Sprecher,Elisa,Frau,
"Carmen, Sylva",Carmen Sylva,Carmen,Sylva,,
"Carmer, Gräfin Dorothea",Carmer Dorothea,Carmer,Dorothea,Gräfin,
Caroline,Caroline,Caroline,,,
"Carolan, Hans",Carolan Hans,Carolan,Hans,,
"Carus, Johanne Caroline",Carus Caroline Johanne,Carus,Caroline Johanne,,
"Castell-Remlingen, Gräfin Charlotte Henriette von",Castell-Remlingen Henriette Charlotte,Castell-Remlingen,Henriette Charlotte,Gräfin,von
"Castell-Rüdenhausen, Sophie Amalie Charlotte, Gräfin v",Castell-Rüdenhausen Sophie Amalie Charlotte,Castell-Rüdenhausen,Sophie Amalie Charlotte,Gräfin,v
"Celius, U. B",Celius B U.,Celius,B U.,,
"Chambaud-Charrier, Auguste v",Chambaud-Charrier Auguste,Chambaud-Charrier,Auguste,,v
"Charles, Frau A",Charles A,Charles,A,Frau,
"Charlot, Ilse",Charlot Ilse,Charlot,Ilse,,
"Chézy, Wilhelmine Christiane v",Chézy Wilhelmine Christiane,Chézy,Wilhelmine Christiane,,v
"Christen, Ada",Christen Ada,Christen,Ada,,
"Christen, Frau Clara",Christen Clara,Christen,Clara,Frau,
"Clarus, Amalie",Clarus Amalie,Clarus,Amalie,,
"Clasen-Schmid, Frau Mathilde",Clasen-Schmid Mathilde,Clasen-Schmid,Mathilde,Frau,
"Claudius, Marie",Claudius Marie,Claudius,Marie,,
"Claussen, Frl. Anna Auguste Henriette",Claussen Henriette Auguste Anna,Claussen,Henriette Auguste Anna,Frl.,
"Claussnitzer, Maria",Claussnitzer Maria,Claussnitzer,Maria,,
"Clemen, Adele",Clemen Adele,Clemen,Adele,,
"Clemens, Hanna",Clemens Hanna,Clemens,Hanna,,
"Clément, Bertha",Clément Bertha,Clément,Bertha,,
"Cless, Marie u. Johanna Huber",Cless Marie,Cless,Marie,,u. Johanna Huber
"Clodius, Julie Friederike Henriette",Clodius Julie Friederike Henriette,Clodius,Julie Friederike Henriette,,
"Coellen, Frl. Marie",Coellen Marie,Coellen,Marie,Frl.,
"Cohen, Minna",Cohen Minna,Cohen,Minna,,
"Connemann, Joh. Theodora",Connemann Joh. Theodora,Connemann,Joh. Theodora,,
"Conradi, Johanna",Conradi Johanna,Conradi,Johanna,,
"Conring, Elise Sophie",Conring Sophie Elise,Conring,Sophie Elise,,
"Conring, Marie Sophie",Conring Sophie Marie,Conring,Sophie Marie,,
Cordelia,Cordelia,Cordelia,,,
"Corhould, Dorothea M",Corhould M Dorothea,Corhould,M Dorothea,,
"Cornelius, Auguste",Cornelius Auguste,Cornelius,Auguste,,
"Cornelius, Auguste",Cornelius Auguste,Cornelius,Auguste,,
"Cosmar, A",Cosmar A,Cosmar,A,,
"Craigmnie, C. v",Craigmnie C.,Craigmnie,C.,,v
"Cuno, Frau Emma",Cuno Emma,Cuno,Emma,Frau,
"Cuno, Frau Luise",Cuno Luise,Cuno,Luise,Frau,
