Original,Name,Vorname,Titel,Sonstiges,Name Vorname
"Beeg, Marie",Beeg,Marie,,,Beeg Marie
"Beeg, Marie",Beeg,Marie,,,Beeg Marie
"Beeg, Frau Mathilde",Beeg,Mathilde,Frau,,Beeg Mathilde
"Beglarian, Frau Dr. med",Beglarian,,Dr. Frau med,,Beglarian 
"Béguelin, Franziska v",Béguelin,Franziska,,v,Béguelin Franziska
"Behne, Frl. M",Behne,M,Frl.,,Behne M
"Behnisch, Frl. Anna",Behnisch,Anna,Frl.,,Behnisch Anna
"Behr, Hedwig v",Behr,Hedwig,,v,Behr Hedwig
"Behr, Julia",Behr,Julia,,,Behr Julia
"Behr, Sophie",Behr,Sophie,,,Behr Sophie
"Behrends-Wirth, Frau Rosa",Behrends-Wirth,Rosa,Frau,,Behrends-Wirth Rosa
"Behrendt, Klara",Behrendt,Klara,,,Behrendt Klara
"Behrens, Anna",Behrens,Anna,,,Behrens Anna
"Behrens, Frl. Bertha",Behrens,Bertha,Frl.,,Behrens Bertha
"Beier, Sophie",Beier,Sophie,,,Beier Sophie
"Békássy, Helene v",Békássy,Helene,,v,Békássy Helene
"Bellamine, Frau",Bellamine,,Frau,,Bellamine 
"Belli, M",Belli,M,,,Belli M
"Belmonte)-Groag, Frau Carola",Belmonte)-Groag,Carola,Frau,,Belmonte)-Groag Carola
"Below, Frau Anna von",Below,Anna,Frau,von,Below Anna
"Below, Hedwig v",Below,Hedwig,,v,Below Hedwig
"Below, Ottilie v",Below,Ottilie,,v,Below Ottilie
"Benda, A. v",Benda,A.,,v,Benda A.
"Bender, Auguste",Bender,Auguste,,,Bender Auguste
"Bender, Auguste",Bender,Auguste,,,Bender Auguste
"Bender, Frau Hofkunststickerin Elise",Bender,Elise,Frau,Hofkunststickerin,Bender Elise
"Bender, Frl. Hedwig",Bender,Hedwig,Frl.,,Bender Hedwig
"Bender, Hilda",Bender,Hilda,,,Bender Hilda
"Benfey-Schuppe, Frau Anna",Benfey-Schuppe,Anna,Frau,,Benfey-Schuppe Anna
"Benfey-Schuppe, Anna",Benfey-Schuppe,Anna,,,Benfey-Schuppe Anna
"Beniczky-Bajza, Frau Helene",Beniczky-Bajza,Helene,Frau,,Beniczky-Bajza Helene
"Benlow, Frau Meta",Benlow,Meta,Frau,,Benlow Meta
"Bentivegni, Frau Ina v",Bentivegni,Ina,Frau,v,Bentivegni Ina
"Bentlage, Frau Dr. C",Bentlage,C,Dr. Frau,,Bentlage C
"Béran, Leopoldine",Béran,Leopoldine,,,Béran Leopoldine
"Berber, Agnes",Berber,Agnes,,,Berber Agnes
"Berdot, René",Berdot,René,,,Berdot René
"Berendt, Marie",Berendt,Marie,,,Berendt Marie
"Berens, Frau Clara",Berens,Clara,Frau,,Berens Clara
"Berensmann, Frl. Mathilde",Berensmann,Mathilde,Frl.,,Berensmann Mathilde
"Bérézine, Minka v",Bérézine,Minka,,v,Bérézine Minka
"Berg, A. v",Berg,A.,,v,Berg A.
"Berg, C",Berg,C,,,Berg C
"Berg, Maria vom",Berg,Maria,,vom,Berg Maria
"Berg, Paula",Berg,Paula,,,Berg Paula
"Berge, Frl. Elisabeth v",Berge,Elisabeth,Frl.,v,Berge Elisabeth
"Berge, Felicitas vom",Berge,Felicitas,,vom,Berge Felicitas
"Bergen, Leo",Bergen,Leo,,,Bergen Leo
"Berger, Adele",Berger,Adele,,,Berger Adele
"Berger, Adeline",Berger,Adeline,,,Berger Adeline
"Berger, E",Berger,E,,,Berger E
"Berger, Johanna",Berger,Johanna,,,Berger Johanna
"Berger, Frau Ida",Berger,Ida,Frau,,Berger Ida
"Berger, Marie",Berger,Marie,,,Berger Marie
"Berger, Therese",Berger,Therese,,,Berger Therese
"Bergmann, Marie",Bergmann,Marie,,,Bergmann Marie
"Bergner, Anna",Bergner,Anna,,,Bergner Anna
"Bergson v. Sonnenberg, Emma",Bergson v. Sonnenberg,Emma,,,Bergson v. Sonnenberg Emma
"Bergthal, Friederike",Bergthal,Friederike,,,Bergthal Friederike
"Berkamp, O",Berkamp,O,,,Berkamp O
"Berkow, Karl",Berkow,Karl,,,Berkow Karl
"Berks, Marie Edle von",Berks,Marie Edle,,von,Berks Marie Edle
"Berlepsch, Freifrau Lina v",Berlepsch,Lina,Freifrau,v,Berlepsch Lina
"Berlepsch, Lina v",Berlepsch,Lina,,v,Berlepsch Lina
"Berlepsch, Frl. M. Goswina von",Berlepsch,M. Goswina,Frl.,von,Berlepsch M. Goswina
"Berlin, Dorothea",Berlin,Dorothea,,,Berlin Dorothea
"Bern, Martha",Bern,Martha,,,Bern Martha
"Bern, Olga",Bern,Olga,,,Bern Olga
"Bernadzikowska, Jelica",Bernadzikowska,Jelica,,,Bernadzikowska Jelica
"Bernau, Frl. Anna",Bernau,Anna,Frl.,,Bernau Anna
"Bernburg, Bertha v",Bernburg,Bertha,,v,Bernburg Bertha
"Berner, Else",Berner,Else,,,Berner Else
"Bernet, Stephanie",Bernet,Stephanie,,,Bernet Stephanie
"Bernhard, Auguste",Bernhard,Auguste,,,Bernhard Auguste
"Bernhard, L",Bernhard,L,,,Bernhard L
"Bernhard-Schalk, Anna",Bernhard-Schalk,Anna,,,Bernhard-Schalk Anna
"Bernhard, Frl. Marie",Bernhard,Marie,Frl.,,Bernhard Marie
"Bernhardi, Frau Luise",Bernhardi,Luise,Frau,,Bernhardi Luise
"Bernhardt, Frl. Adelheid",Bernhardt,Adelheid,Frl.,,Bernhardt Adelheid
"Bernow, Ludwig",Bernow,Ludwig,,,Bernow Ludwig
"Bernstein, Frau A",Bernstein,A,Frau,,Bernstein A
"Bernstein, Frau Elsa",Bernstein,Elsa,Frau,,Bernstein Elsa
"Bernstorf, Gräfin Elise v",Bernstorf,Elise,Gräfin,v,Bernstorf Elise
"Bernthsen, Frau Professor",Bernthsen,Professor,Frau,,Bernthsen Professor
"Berthet, Elie",Berthet,Elie,,,Berthet Elie
"Berthof, Max v",Berthof,Max,,v,Berthof Max
"Berthold, Frl. Helene",Berthold,Helene,Frl.,,Berthold Helene
"Berthold, Helene",Berthold,Helene,,,Berthold Helene
"Berthold, Luise",Berthold,Luise,,,Berthold Luise
"Berthold, L",Berthold,L,,,Berthold L
"Bertling, Agathe",Bertling,Agathe,,,Bertling Agathe
"Berton, Karoline",Berton,Karoline,,,Berton Karoline
"Bertram, Frl. Anna",Bertram,Anna,Frl.,,Bertram Anna
"Beruna, A",Beruna,A,,,Beruna A
"Besobrasof, Marie",Besobrasof,Marie,,,Besobrasof Marie
"Bessmertny, Frau Marie",Bessmertny,Marie,Frau,,Bessmertny Marie
"Betemann, Clelie",Betemann,Clelie,,,Betemann Clelie
"Bethusy-Huc, Frau Gräfin Valesca",Bethusy-Huc,Valesca,Gräfin Frau,,Bethusy-Huc Valesca
"Betkowska, Elise",Betkowska,Elise,,,Betkowska Elise
Bettina,Bettina,,,,Bettina 
"Betty, Tante",Betty,Tante,,,Betty Tante
"Beutner, Renata",Beutner,Renata,,,Beutner Renata
"Beyer, Frl. Anna",Beyer,Anna,Frl.,,Beyer Anna
"Beyer, Ottilie",Beyer,Ottilie,,,Beyer Ottilie
"Beyrich, Clementine",Beyrich,Clementine,,,Beyrich Clementine
"Bezerédy, Frau Amalie",Bezerédy,Amalie,Frau,,Bezerédy Amalie
"Bibra-Spesshardt, Thekla Freiin v",Bibra-Spesshardt,Thekla,Freiin,v,Bibra-Spesshardt Thekla
"Bibus, Ottilie",Bibus,Ottilie,,,Bibus Ottilie
"Bickersteth-Ward, Charlotte",Bickersteth-Ward,Charlotte,,,Bickersteth-Ward Charlotte
"Biebendt, Frau Anna",Biebendt,Anna,Frau,,Biebendt Anna
"Bieber-Böhm, Frau Rechtsanwalt Hanna",Bieber-Böhm,Hanna,Frau Rechtsanwalt,,Bieber-Böhm Hanna
"Biedermann, Freifrau Clara Magdalene Ernestine von",Biedermann,Magdalene Ernestine Clara,Freifrau,von,Biedermann Magdalene Ernestine Clara
"Biegeleben, Frl. Marianne v",Biegeleben,Marianne,Frl.,v,Biegeleben Marianne
"Biel, Anni v",Biel,Anni,,v,Biel Anni
"Biervliet, Mélanie van",Biervliet,Mélanie,,van,Biervliet Mélanie
"Bigot, Charl",Bigot,Charl,,,Bigot Charl
"Bigot, Madame",Bigot,Madame,,,Bigot Madame
"Bihan, Angelika",Bihan,Angelika,,,Bihan Angelika
Bilder,Bilder,,,,Bilder 
"Biller, Frl. Clara",Biller,Clara,Frl.,,Biller Clara
"Biller, E",Biller,E,,,Biller E
"Biller, E",Biller,E,,,Biller E
"Billmann, Hebamme Lina",Billmann,Lina,,Hebamme,Billmann Lina
"Bimbach, Julie",Bimbach,Julie,,,Bimbach Julie
"Binder, Frl. Helene",Binder,Helene,Frl.,,Binder Helene
"Binder, Helene",Binder,Helene,,,Binder Helene
"Binder, Frl. Sidonie",Binder,Sidonie,Frl.,,Binder Sidonie
"Bindewald, Frau Luise",Bindewald,Luise,Frau,,Bindewald Luise
"Bindschedler, Frl. Emma",Bindschedler,Emma,Frl.,,Bindschedler Emma
"Bindschedler-Boesch, Nina",Bindschedler-Boesch,Nina,,,Bindschedler-Boesch Nina
