Original,Name,Vorname,Titel,Sonstiges,Name Vorname
"Fangmeyer, Lina",Fangmeyer,Lina,,,Fangmeyer Lina
"Farner, Frl. Karoline",Farner,Karoline,Frl.,,Farner Karoline
"Fäsi, Lena",Fäsi,Lena,,,Fäsi Lena
"Fasser, Frau Dr. Caroline",Fasser,Caroline,Dr. Frau,,Fasser Caroline
"Fastenrath, Frau Luise",Fastenrath,Luise,Frau,,Fastenrath Luise
"Fastlinger, Frl. Sophie",Fastlinger,Sophie,Frl.,,Fastlinger Sophie
"Faust, Marie",Faust,Marie,,,Faust Marie
"Feaux, Frau Emmy du",Feaux,Emmy,Frau,du,Feaux Emmy
"Fechner, Augusta",Fechner,Augusta,,,Fechner Augusta
"Fechner, Frau Professor Klara",Fechner,Klara,Frau Professor,,Fechner Klara
"Feddersen-Böhme, Frau Margarete",Feddersen-Böhme,Margarete,Frau,,Feddersen-Böhme Margarete
"Fehr, Frl. Laura",Fehr,Laura,Frl.,,Fehr Laura
"Feibelsohn, Frl. Emma",Feibelsohn,Emma,Frl.,,Feibelsohn Emma
"Feibelsohn, Frl. Laura",Feibelsohn,Laura,Frl.,,Feibelsohn Laura
"Feiertag, Andreas",Feiertag,Andreas,,,Feiertag Andreas
"Feige, Emilie",Feige,Emilie,,,Feige Emilie
"Feil, Laura",Feil,Laura,,,Feil Laura
"Feilitzsch, Frl. Emmy v",Feilitzsch,Emmy,Frl.,v,Feilitzsch Emmy
"Feilmann, Frl. Johanna",Feilmann,Johanna,Frl.,,Feilmann Johanna
"Feinberg, Mina",Feinberg,Mina,,,Feinberg Mina
"Feistmantel, Auguste von",Feistmantel,Auguste,,von,Feistmantel Auguste
"Feitzinger-Wolf, Frau Anna",Feitzinger-Wolf,Anna,Frau,,Feitzinger-Wolf Anna
"Felbinger-Wlassak, Amalie v",Felbinger-Wlassak,Amalie,,v,Felbinger-Wlassak Amalie
"Feld, Laura",Feld,Laura,,,Feld Laura
"Feldegg, Marie v",Feldegg,Marie,,v,Feldegg Marie
"Feldner, Elise",Feldner,Elise,,,Feldner Elise
"Feldt, Auguste",Feldt,Auguste,,,Feldt Auguste
"Fellger, Friederike",Fellger,Friederike,,,Fellger Friederike
"Fels, Egon",Fels,Egon,,,Fels Egon
"Fels, Liane v",Fels,Liane,,v,Fels Liane
"Fels, R. v",Fels,R.,,v,Fels R.
"Felsberg, P",Felsberg,P,,,Felsberg P
"Felsberg, Mathilde",Felsberg,Mathilde,,,Felsberg Mathilde
"Felseneck, Marie v",Felseneck,Marie,,v,Felseneck Marie
"Felseneck, Marie v",Felseneck,Marie,,v,Felseneck Marie
"Felshof, E",Felshof,E,,,Felshof E
"Felsing, Frau Helene",Felsing,Helene,Frau,,Felsing Helene
"Felsner, Charlotte",Felsner,Charlotte,,,Felsner Charlotte
"Felson, Elit",Felson,Elit,,,Felson Elit
"Ferbers, Frl. Clotilde",Ferbers,Clotilde,Frl.,,Ferbers Clotilde
"Fern, Ludwig",Fern,Ludwig,,,Fern Ludwig
"Fernhain, Elise v",Fernhain,Elise,,v,Fernhain Elise
"Ferra, A",Ferra,A,,,Ferra A
"Feuerbach, Eleonor",Feuerbach,Eleonor,,,Feuerbach Eleonor
"Feuerbach, Emilie",Feuerbach,Emilie,,,Feuerbach Emilie
"Feuerbach, Henriette",Feuerbach,Henriette,,,Feuerbach Henriette
"Fiala, Louise",Fiala,Louise,,,Fiala Louise
"Fickert, Auguste",Fickert,Auguste,,,Fickert Auguste
"Fiedler, Frau J. H",Fiedler,J. H,Frau,,Fiedler J. H
"Fielt, C",Fielt,C,,,Fielt C
"Filhés, B",Filhés,B,,,Filhés B
"Filtsch-Molly, Charlotte",Filtsch-Molly,Charlotte,,,Filtsch-Molly Charlotte
"Fink, Anna",Fink,Anna,,,Fink Anna
"Firlé, Luise",Firlé,Luise,,,Firlé Luise
"Fischer, Frl. Anna",Fischer,Anna,Frl.,,Fischer Anna
"Fischer, Frau Betti",Fischer,Betti,Frau,,Fischer Betti
"Fischer, Frau Elise",Fischer,Elise,Frau,,Fischer Elise
"Fischer, Frl. Friederike",Fischer,Friederike,Frl.,,Fischer Friederike
"Fischer, Frl. Jenny",Fischer,Jenny,Frl.,,Fischer Jenny
"Fischer, Karoline Auguste",Fischer,Auguste Karoline,,,Fischer Auguste Karoline
"Fischer, Frau Marie",Fischer,Marie,Frau,,Fischer Marie
"Fischer, Frl. Martha Renate",Fischer,Renate Martha,Frl.,,Fischer Renate Martha
"Fischer, Minna",Fischer,Minna,,,Fischer Minna
"Fischer, Ottilie",Fischer,Ottilie,,,Fischer Ottilie
"Fischer, S",Fischer,S,,,Fischer S
"Fischer, Theresia",Fischer,Theresia,,,Fischer Theresia
"Fischer-Dückelmann, Frau Anna",Fischer-Dückelmann,Anna,Frau,,Fischer-Dückelmann Anna
"Fittchersvogel, Marilla",Fittchersvogel,Marilla,,,Fittchersvogel Marilla
"Flach, Lehrerin Auguste",Flach,Auguste Lehrerin,,,Flach Auguste Lehrerin
"Flach, Frl. Josephine Adelheid Mathilde",Flach,Adelheid Mathilde Josephine,Frl.,,Flach Adelheid Mathilde Josephine
"Flachs, Frau Marie",Flachs,Marie,Frau,,Flachs Marie
"Flachs-Fokschaneanu, Frau Louise",Flachs-Fokschaneanu,Louise,Frau,,Flachs-Fokschaneanu Louise
"Flamm, Wilhelmine",Flamm,Wilhelmine,,,Flamm Wilhelmine
"Fleer, Ottilie",Fleer,Ottilie,,,Fleer Ottilie
"Fleck, Frl. Clara",Fleck,Clara,Frl.,,Fleck Clara
"Fleischer, Fried. Sophie",Fleischer,Fried. Sophie,,,Fleischer Fried. Sophie
"Fles, Anna",Fles,Anna,,,Fles Anna
"Flemmich, Adinda",Flemmich,Adinda,,,Flemmich Adinda
"Flink, Katharina M",Flink,M Katharina,,,Flink M Katharina
"Flink, Marie",Flink,Marie,,,Flink Marie
"Focking, Therese",Focking,Therese,,,Focking Therese
"Focking, Therese",Focking,Therese,,,Focking Therese
"Foerster, Carl",Foerster,Carl,,,Foerster Carl
"Förster, Elisabeth u. George Hesekiel",Förster,Hesekiel u. Elisabeth George,,,Förster Hesekiel u. Elisabeth George
"Förster, J",Förster,J,,,Förster J
"Förster, Frl. Luise",Förster,Luise,Frl.,,Förster Luise
"Förster, Marie Laura",Förster,Marie Laura,,,Förster Marie Laura
"Förster, Rosa von",Förster,Rosa,,von,Förster Rosa
"Förster-Nietzsche, Elisabeth",Förster-Nietzsche,Elisabeth,,,Förster-Nietzsche Elisabeth
"Förstner, Clara Johanna",Förstner,Johanna Clara,,,Förstner Johanna Clara
"Fohrbach, Herbert",Fohrbach,Herbert,,,Fohrbach Herbert
"Folkart, M",Folkart,M,,,Folkart M
"Follenius, Frl. Sophie v",Follenius,Sophie,Frl.,v,Follenius Sophie
"Foller, Frl. Marie v",Foller,Marie,Frl.,v,Foller Marie
"Forinyak, Frl. Marie",Forinyak,Marie,Frl.,,Forinyak Marie
"Forrer, Clara",Forrer,Clara,,,Forrer Clara
"Forstenheim, Anna",Forstenheim,Anna,,,Forstenheim Anna
"Forstenheim, Clara",Forstenheim,Clara,,,Forstenheim Clara
"Forster, Frau Helene von",Forster,Helene,Frau,von,Forster Helene
"Forster, William",Forster,William,,,Forster William
"Fortner, M",Fortner,M,,,Fortner M
"Foster, Anna",Foster,Anna,,,Foster Anna
"Fouqué, Caroline, Freiin de la Motte",Fouqué,Caroline,Freiin de la Motte,,Fouqué Caroline
"Fouqué, Baronin de la Motte",Fouqué,,Baronin,de la Motte,Fouqué 
"Fränckel, Frau Anna",Fränckel,Anna,Frau,,Fränckel Anna
"François, Marie Clementine von",François,Marie Clementine,,von,François Marie Clementine
"Francesco, Frieda",Francesco,Frieda,,,Francesco Frieda
"Francis, Renée",Francis,Renée,,,Francis Renée
"François, Marie Luise von",François,Marie Luise,,von,François Marie Luise
"Franck, Hermine",Franck,Hermine,,,Franck Hermine
"Franck, Marie",Franck,Marie,,,Franck Marie
"Franck, Frau Mathilde",Franck,Mathilde,Frau,,Franck Mathilde
"Franckhen, Amalie V",Franckhen,V Amalie,,,Franckhen V Amalie
"Frank, Donatus",Frank,Donatus,,,Frank Donatus
"Frank, J",Frank,J,,,Frank J
"Franke, Lehr. E",Franke,E,Lehr.,,Franke E
"Frank, Frau Sofie",Frank,Sofie,Frau,,Frank Sofie
"Frank, Ulrich",Frank,Ulrich,,,Frank Ulrich
"Franke-Schievelbein, Frau Gertrud",Franke-Schievelbein,Gertrud,Frau,,Franke-Schievelbein Gertrud
"Franken, Constanze von",Franken,Constanze,,von,Franken Constanze
"Frankenberg, Louise",Frankenberg,Louise,,,Frankenberg Louise
"Frankenstein, Frl. Hermine",Frankenstein,Hermine,Frl.,,Frankenstein Hermine
"Franner, Babette",Franner,Babette,,,Franner Babette
"Franul von Weissenthurn, Max",Franul von Weissenthurn,Max,,,Franul von Weissenthurn Max
"Franz, Agnes",Franz,Agnes,,,Franz Agnes
"Franz, Emma",Franz,Emma,,,Franz Emma
"Franz, Henriette",Franz,Henriette,,,Franz Henriette
Franziska Gräfin Schwerin,Franziska Gräfin Schwerin,,,,Franziska Gräfin Schwerin 
"Franzos, Frau Ottilie",Franzos,Ottilie,Frau,,Franzos Ottilie
"Fränzl, Frau Marianne",Fränzl,Marianne,Frau,,Fränzl Marianne
"Frapan, Ilse",Frapan,Ilse,,,Frapan Ilse
"Frauberger, Frau Tina",Frauberger,Tina,Frau,,Frauberger Tina
"Frauzem, Marie",Frauzem,Marie,,,Frauzem Marie
"Fred, Helmine",Fred,Helmine,,,Fred Helmine
"Freddi, Frau Gräfin Martha",Freddi,Martha,Gräfin Frau,,Freddi Martha
"Frederich, Bertha",Frederich,Bertha,,,Frederich Bertha
"Freericks, Frl. Minna",Freericks,Minna,Frl.,,Freericks Minna
"Freese, Henriette",Freese,Henriette,,,Freese Henriette
"Frei, Frl. Emma",Frei,Emma,Frl.,,Frei Emma
"Freiberg, Günther v",Freiberg,Günther,,v,Freiberg Günther
"Freiensehner, Frau Pfarrer Phili",Freiensehner,Phili Pfarrer,Frau,,Freiensehner Phili Pfarrer
"Freiligrath, Frl. Gisberte",Freiligrath,Gisberte,Frl.,,Freiligrath Gisberte
"Freiligrath-Kroeker, Frau Käthe",Freiligrath-Kroeker,Käthe,Frau,,Freiligrath-Kroeker Käthe
"Freimund, Rod",Freimund,Rod,,,Freimund Rod
"Freudenberg, Caroline Petronelle von",Freudenberg,Petronelle Caroline,,von,Freudenberg Petronelle Caroline
"Freudenthal, Frau Emma",Freudenthal,Emma,Frau,,Freudenthal Emma
"Freund, Frl. Anna",Freund,Anna,Frl.,,Freund Anna
"Fresne, Baronesse de",Fresne,de Baronesse,,,Fresne de Baronesse
"Frey, Bernhard",Frey,Bernhard,,,Frey Bernhard
"Frey, Erich",Frey,Erich,,,Frey Erich
"Frey, H. M",Frey,H. M,,,Frey H. M
"Frey, Frl. Marie",Frey,Marie,Frl.,,Frey Marie
"Frey-Beger, Frau Dr. Lina",Frey-Beger,Lina,Dr. Frau,,Frey-Beger Lina
"Freyburg, Elise",Freyburg,Elise,,,Freyburg Elise
"Freydorf, Alberta Wilhelmine Henriette v",Freydorf,Wilhelmine Henriette Alberta,,v,Freydorf Wilhelmine Henriette Alberta
"Freyenstein, H. von",Freyenstein,H.,,von,Freyenstein H.
"Freymann, J",Freymann,J,,,Freymann J
"Freytag, E",Freytag,E,,,Freytag E
"Freytag, Frl. Josephine",Freytag,Josephine,Frl.,,Freytag Josephine
"Freytag, Frau Marie",Freytag,Marie,Frau,,Freytag Marie
"Frick, Frau Ida",Frick,Ida,Frau,,Frick Ida
"Frick, Ida",Frick,Ida,,,Frick Ida
"Fricke, Frl. Friederike",Fricke,Friederike,Frl.,,Fricke Friederike
"Friedberg, Frau Baronin Helene",Friedberg,Helene,Baronin Frau,,Friedberg Helene
"Friedberg, Emmy",Friedberg,Emmy,,,Friedberg Emmy
"Friede, Martha",Friede,Martha,,,Friede Martha
"Friedeberg, Harriet",Friedeberg,Harriet,,,Friedeberg Harriet
"Friedel, Louise Beate Augustine",Friedel,Beate Louise Augustine,,,Friedel Beate Louise Augustine
"Friedel, L",Friedel,L,,,Friedel L
"Friedemann, Frau Konsul Martha Albertine",Friedemann,Albertine Martha,Frau Konsul,,Friedemann Albertine Martha
"Frieder, Marianne",Frieder,Marianne,,,Frieder Marianne
"Friederichs, Adelheid",Friederichs,Adelheid,,,Friederichs Adelheid
"Friederik, Christiane",Friederik,Christiane,,,Friederik Christiane
"Friederike, Königin von Schweden",Friederike,,Königin von Schweden,,Friederike 
"Friederike, Tante",,Friederike,Tante,, Friederike
"Friedlaender, Regine",Friedlaender,Regine,,,Friedlaender Regine
"Friedland, Alma",Friedland,Alma,,,Friedland Alma
"Friedländer, Helene",Friedländer,Helene,,,Friedländer Helene
"Friedländer, Frl. Jeanne",Friedländer,Jeanne,Frl.,,Friedländer Jeanne
"Friedländer-Werther, E",Friedländer-Werther,E,,,Friedländer-Werther E
"Frielinghaus, Frl. Josephine",Frielinghaus,Josephine,Frl.,,Frielinghaus Josephine
"Friesen, C. Freifrau v",Friesen,C.,Freifrau,v,Friesen C.
"Friesen, M., Freifrau v",Friesen,M.,Freifrau,v,Friesen M.
Fringilla,Fringilla,,,,Fringilla 
"Frischauer, Charlotte",Frischauer,Charlotte,,,Frischauer Charlotte
"Fritsch, Frau Franziska v",Fritsch,Franziska,Frau,v,Fritsch Franziska
"Fritze, Ernst",Fritze,Ernst,,,Fritze Ernst
"Fritze, Ernst",Fritze,Ernst,,,Fritze Ernst
"Fröhlich, C",Fröhlich,C,,,Fröhlich C
"Fröhlich, Elise",Fröhlich,Elise,,,Fröhlich Elise
"Frohmut, M",Frohmut,M,,,Frohmut M
"Frölich, Henriette",Frölich,Henriette,,,Frölich Henriette
"Frömmichen, Sophia",Frömmichen,Sophia,,,Frömmichen Sophia
"Frohberg, Regina",Frohberg,Regina,,,Frohberg Regina
"Fromann, Frau Malwina",Fromann,Malwina,Frau,,Fromann Malwina
"Fromm, A",Fromm,A,,,Fromm A
"Fromm, Clara",Fromm,Clara,,,Fromm Clara
"Froriep, Amalie Henriette Sophie",Froriep,Henriette Amalie Sophie,,,Froriep Henriette Amalie Sophie
"Frost, Frau Landgerichtsrat Laura",Frost,Laura,Frau Landgerichtsrat,,Frost Laura
"Frühwein, Frl. Fanny",Frühwein,Fanny,Frl.,,Frühwein Fanny
"Frydmann, Ludmilla",Frydmann,Ludmilla,,,Frydmann Ludmilla
"Fuchs, Klara",Fuchs,Klara,,,Fuchs Klara
"Füger-Rechtborn, Anna von",Füger-Rechtborn,Anna,,von,Füger-Rechtborn Anna
"Führich, Johanna",Führich,Johanna,,,Führich Johanna
"Fuhrmann, Frl. Irene",Fuhrmann,Irene,Frl.,,Fuhrmann Irene
"Fulda, Ellen",Fulda,Ellen,,,Fulda Ellen
"Fulda, Seraphine v",Fulda,Seraphine,,v,Fulda Seraphine
"Fülle, Elly",Fülle,Elly,,,Fülle Elly
"Funk, Frl. E",Funk,E,Frl.,,Funk E
"Funk, Marie",Funk,Marie,,,Funk Marie
"Fürst, A",Fürst,A,,,Fürst A
"Fürst, Elise",Fürst,Elise,,,Fürst Elise
"Fürst, J",Fürst,J,,,Fürst J
"Fürstenberg, Reichsfreiin Else von",Fürstenberg,Else Reichsfreiin,,von,Fürstenberg Else Reichsfreiin
"Fuss, Magda",Fuss,Magda,,,Fuss Magda
"Gäander, O",Gäander,O,,,Gäander O
"Gabain, Frau Hildegard von",Gabain,Hildegard,Frau,von,Gabain Hildegard
"Gabillon, Helene",Gabillon,Helene,,,Gabillon Helene
"Gad, Esther",Gad,Esther,,,Gad Esther
"Gagern, B. v",Gagern,B.,,v,Gagern B.
"Gagern, Dora, Freifrau v",Gagern,Dora,Freifrau,v,Gagern Dora
"Galitzin, Amalie v",Galitzin,Amalie,,v,Galitzin Amalie
"Gall, Louise",Gall,Louise,,,Gall Louise
"Gallini, Frl. Florentine",Gallini,Florentine,Frl.,,Gallini Florentine
"Gallizin, Amalie Fürstin v",Gallizin,Amalie,Fürstin,v,Gallizin Amalie
"Gallmeyer, Josephine",Gallmeyer,Josephine,,,Gallmeyer Josephine
"Gallus, A. v",Gallus,A.,,v,Gallus A.
"Gallwitz, Valeska v",Gallwitz,Valeska,,v,Gallwitz Valeska
"Gamper, Adele",Gamper,Adele,,,Gamper Adele
"Gamper, Wilh",Gamper,Wilh,,,Gamper Wilh
"Garbald-Gredig, Frau Johanna",Garbald-Gredig,Johanna,Frau,,Garbald-Gredig Johanna
"Garbald, Marie",Garbald,Marie,,,Garbald Marie
"Garick, Adele",Garick,Adele,,,Garick Adele
"Garick, Adele",Garick,Adele,,,Garick Adele
"Gatterer, Magdalena Philippine",Gatterer,Magdalena Philippine,,,Gatterer Magdalena Philippine
"Gärtner, C",Gärtner,C,,,Gärtner C
"Gärtner, Marie Ottilie",Gärtner,Marie Ottilie,,,Gärtner Marie Ottilie
"Gärtner, Therese v",Gärtner,Therese,,v,Gärtner Therese
"Gässler, Augusta von",Gässler,Augusta,,von,Gässler Augusta
"Garve, Amalie Wilhelmine",Garve,Wilhelmine Amalie,,,Garve Wilhelmine Amalie
"Gaskell, Elisab. E",Gaskell,Elisab. E,,,Gaskell Elisab. E
"Gasparin, Gräfin A. v",Gasparin,A.,Gräfin,v,Gasparin A.
"Gass, Flora",Gass,Flora,,,Gass Flora
"Gast, Frl. Th",Gast,Th,Frl.,,Gast Th
"Gaugain, Johanna",Gaugain,Johanna,,,Gaugain Johanna
Gattin,Gattin,,,,Gattin 
"Gaudy, Alice Freiin v",Gaudy,Alice,Freiin,v,Gaudy Alice
"Gayer, O",Gayer,O,,,Gayer O
"Gayette-Georgens, Jeanne Marie",Gayette-Georgens,Marie Jeanne,,,Gayette-Georgens Marie Jeanne
"Gayette-Georgens, Jeanne Marie",Gayette-Georgens,Marie Jeanne,,,Gayette-Georgens Marie Jeanne
"Gayworowski, Olga von",Gayworowski,Olga,,von,Gayworowski Olga
"Gayworowski, Sabine von",Gayworowski,Sabine,,von,Gayworowski Sabine
"Gebauer, Frau Emma",Gebauer,Emma,Frau,,Gebauer Emma
"Gebauer, O",Gebauer,O,,,Gebauer O
"Gebeschus, Frl. Ida",Gebeschus,Ida,Frl.,,Gebeschus Ida
"Gebhardt, Cora Natalie",Gebhardt,Natalie Cora,,,Gebhardt Natalie Cora
"Gebhardt, Frl. Florentine",Gebhardt,Florentine,Frl.,,Gebhardt Florentine
"Gebser, Dr. phil. Anna",Gebser,phil. Anna,Dr.,,Gebser phil. Anna
"Gebser, Clara",Gebser,Clara,,,Gebser Clara
Gedanken,Gedanken,,,,Gedanken 
Gedichte der Baronin Emily G,Gedichte der Baronin Emily G,,,,Gedichte der Baronin Emily G 
"Gehren, Friederike Wilhelmine Amalie von",Gehren,Wilhelmine Friederike Amalie,,von,Gehren Wilhelmine Friederike Amalie
"Gehren, Frau Wilhelmine von",Gehren,Wilhelmine,Frau,von,Gehren Wilhelmine
"Geissler, Henr. Wilh",Geissler,Wilh Henr.,,,Geissler Wilh Henr.
"Geith, Minna",Geith,Minna,,,Geith Minna
"Gellhorn, Frau Oberstlieutenant Mathilde von",Gellhorn,Mathilde,Frau Oberstlieutenant,von,Gellhorn Mathilde
"Gellibrand, Emma",Gellibrand,Emma,,,Gellibrand Emma
"Gemberg, Frau Adine Adja Carlowna",Gemberg,Adine Carlowna Adja,Frau,,Gemberg Adine Carlowna Adja
"Gemberg, Adine",Gemberg,Adine,,,Gemberg Adine
"Gemretz, Stina",Gemretz,Stina,,,Gemretz Stina
"Genast, Johanna",Genast,Johanna,,,Genast Johanna
"Genée, Elise",Genée,Elise,,,Genée Elise
"Gensel, Wilh. Christ. Charl",Gensel,Charl Wilh. Christ.,,,Gensel Charl Wilh. Christ.
"Gensicke, Wilhelmine",Gensicke,Wilhelmine,,,Gensicke Wilhelmine
"Georg, Hans",Georg,Hans,,,Georg Hans
"George, Amalie v. St",George,St Amalie,,v.,George St Amalie
"George, Amara",George,Amara,,,George Amara
"George, Anna",George,Anna,,,George Anna
"George-Kaufmann, Amara",George-Kaufmann,Amara,,,George-Kaufmann Amara
"George, Sophie",George,Sophie,,,George Sophie
"Georgens, J. D",Georgens,D J.,,,Georgens D J.
"Georgens, J. D",Georgens,D J.,,,Georgens D J.
"Georgi, Amadeus",Georgi,Amadeus,,,Georgi Amadeus
"Georgi, Frl. Amanda",Georgi,Amanda,Frl.,,Georgi Amanda
"Georgi, A",Georgi,A,,,Georgi A
"Georgy, Ernst",Georgy,Ernst,,,Georgy Ernst
"Gerbing, Frau Luise",Gerbing,Luise,Frau,,Gerbing Luise
"Gerbrandt, Frl. Marie",Gerbrandt,Marie,Frl.,,Gerbrandt Marie
"Gerdinger, Hans",Gerdinger,Hans,,,Gerdinger Hans
"Gerecke, Elise",Gerecke,Elise,,,Gerecke Elise
"Gerhard, Adele",Gerhard,Adele,,,Gerhard Adele
"Gerhard, C",Gerhard,C,,,Gerhard C
"Gerhard, Frl. Similde",Gerhard,Similde,Frl.,,Gerhard Similde
"Gerhardt, Henriette",Gerhardt,Henriette,,,Gerhardt Henriette
"Gerhardt, Julie Karoline Henriette",Gerhardt,Henriette Julie Karoline,,,Gerhardt Henriette Julie Karoline
"Gerhardt, M",Gerhardt,M,,,Gerhardt M
"Gericke, Auguste",Gericke,Auguste,,,Gericke Auguste
"Gerlach, Frl. Clara",Gerlach,Clara,Frl.,,Gerlach Clara
"Gerlach, Josephine Henriette",Gerlach,Henriette Josephine,,,Gerlach Henriette Josephine
Germanis,Germanis,,,,Germanis 
"Gerner, Frau Marie",Gerner,Marie,Frau,,Gerner Marie
"Gerold-Humeberg, Rosa v",Gerold-Humeberg,Rosa,,v,Gerold-Humeberg Rosa
"Gerold-Sauerländer, Bertha",Gerold-Sauerländer,Bertha,,,Gerold-Sauerländer Bertha
"Gersdorf, Agnes Ernestine Rosalie v",Gersdorf,Rosalie Ernestine Agnes,,v,Gersdorf Rosalie Ernestine Agnes
"Gersdorf, Anna",Gersdorf,Anna,,,Gersdorf Anna
"Gersdorf, Charlotte Eleonore Wilhelmine v",Gersdorf,Wilhelmine Charlotte Eleonore,,v,Gersdorf Wilhelmine Charlotte Eleonore
"Gersdorf, Charlotte Justine",Gersdorf,Charlotte Justine,,,Gersdorf Charlotte Justine
"Gersdorf, Henriette Katharina Freifrau von",Gersdorf,Henriette Katharina,Freifrau,von,Gersdorf Henriette Katharina
"Gersdorf, Wilhelmine v",Gersdorf,Wilhelmine,,v,Gersdorf Wilhelmine
"Gersdorff, Frau Ada v",Gersdorff,Ada,Frau,v,Gersdorff Ada
"Gerstenbergk, Freifräulein Jenny von",Gerstenbergk,Jenny,Freifräulein,von,Gerstenbergk Jenny
"Gerth, Silesius",Gerth,Silesius,,,Gerth Silesius
"Gerzabek, A. v",Gerzabek,A.,,v,Gerzabek A.
"Gerzabek, A. v",Gerzabek,A.,,v,Gerzabek A.
"Geyer, Anna",Geyer,Anna,,,Geyer Anna
"Geyersbach, Fried. Dorothee",Geyersbach,Dorothee Fried.,,,Geyersbach Dorothee Fried.
"Giehrl, Frau Emmy",Giehrl,Emmy,Frau,,Giehrl Emmy
"Giehrl, Emmy",Giehrl,Emmy,,,Giehrl Emmy
"Gies, L",Gies,L,,,Gies L
"Giese, Marie",Giese,Marie,,,Giese Marie
"Giese, Martha",Giese,Martha,,,Giese Martha
"Giger, Freifrau von Eichkron, Hermine",Giger,Hermine,Freifrau,von,Giger Hermine
"Giger, Rosamunde",Giger,Rosamunde,,,Giger Rosamunde
"Gilbert, Frank",Gilbert,Frank,,,Gilbert Frank
"Gilbert, Joh. Wilh. Albertine",Gilbert,Joh. Wilh. Albertine,,,Gilbert Joh. Wilh. Albertine
"Gilgen, Hermine von",Gilgen,Hermine,,von,Gilgen Hermine
"Gilsa, S. v",Gilsa,S.,,v,Gilsa S.
"Gilten, Henriette Christiane von",Gilten,Henriette Christiane,,von,Gilten Henriette Christiane
"Gimmi, Frau Maria Emilie",Gimmi,Emilie Maria,Frau,,Gimmi Emilie Maria
"Gindroz, Pauline und Elise Cords",Gindroz,Cords Elise Pauline und,,,Gindroz Cords Elise Pauline und
"Gintl, Julie",Gintl,Julie,,,Gintl Julie
"Giorgi, Antonia de",Giorgi,Antonia,,de,Giorgi Antonia
"Giovane, Juliane",Giovane,Juliane,,,Giovane Juliane
"Girgl, Therese",Girgl,Therese,,,Girgl Therese
"Girtler, Emma",Girtler,Emma,,,Girtler Emma
"Gissot, Sophie",Gissot,Sophie,,,Gissot Sophie
"Gizycki, Lily v",Gizycki,Lily,,v,Gizycki Lily
"Gjertz, Maria",Gjertz,Maria,,,Gjertz Maria
"Glas, Elsa",Glas,Elsa,,,Glas Elsa
"Glasenapp, Magdalene v",Glasenapp,Magdalene,,v,Glasenapp Magdalene
"Glaser, Juliane",Glaser,Juliane,,,Glaser Juliane
"Glaser, Frl. Marie von",Glaser,Marie,Frl.,von,Glaser Marie
"Glass, Frl. Luise",Glass,Luise,Frl.,,Glass Luise
"Gleichen, Elise v",Gleichen,Elise,,v,Gleichen Elise
"Gleichen-Russwurm, Emilie Freifrau von",Gleichen-Russwurm,Emilie,Freifrau,von,Gleichen-Russwurm Emilie
"Gleim, Betty",Gleim,Betty,,,Gleim Betty
"Gleim, Elisabeth",Gleim,Elisabeth,,,Gleim Elisabeth
"Gleye, Frl. Maria Carlita",Gleye,Carlita Maria,Frl.,,Gleye Carlita Maria
"Glieher, Constance",Glieher,Constance,,,Glieher Constance
"Glinzer, Frl. Johanna",Glinzer,Johanna,Frl.,,Glinzer Johanna
"Glocker, Frau Maria",Glocker,Maria,Frau,,Glocker Maria
"Gloeckner, Molly",Gloeckner,Molly,,,Gloeckner Molly
"Glogau, Frl. Bertha",Glogau,Bertha,Frl.,,Glogau Bertha
"Glück, Elisabeth",Glück,Elisabeth,,,Glück Elisabeth
"Glümer, Charlotte von",Glümer,Charlotte,,von,Glümer Charlotte
"Glümer, Frl. Claire von",Glümer,Claire,Frl.,von,Glümer Claire
"Gmeiner, Frl. Christiane",Gmeiner,Christiane,Frl.,,Gmeiner Christiane
"Gnade, Frau Hauptmann, Elisabeth",Gnade,Elisabeth,Frau,,Gnade Elisabeth
"Gnauck-Kühne, Frau Dr. Elisabeth",Gnauck-Kühne,Elisabeth,Dr. Frau,,Gnauck-Kühne Elisabeth
"Gnauck-Kühne, Elisabeth",Gnauck-Kühne,Elisabeth,,,Gnauck-Kühne Elisabeth
"Gnevkow, Anna",Gnevkow,Anna,,,Gnevkow Anna
"Göckingk, Amalie",Göckingk,Amalie,,,Göckingk Amalie
"Godai, Frau Josefine",Godai,Josefine,Frau,,Godai Josefine
"Goddard, Christophine",Goddard,Christophine,,,Goddard Christophine
"Gödel, Johanna",Gödel,Johanna,,,Gödel Johanna
"Godin, A",Godin,A,,,Godin A
"Godin, A",Godin,A,,,Godin A
"Goedicke, Frl. Else",Goedicke,Else,Frl.,,Goedicke Else
"Goehren, Caroline v",Goehren,Caroline,,v,Goehren Caroline
"Goës, Herma",Goës,Herma,,,Goës Herma
"Goeschke, Ann",Goeschke,Ann,,,Goeschke Ann
"Goethe, Ottilie Wilhelmine Ernestine Henr. v",Goethe,Wilhelmine Ernestine Ottilie Henr.,,v,Goethe Wilhelmine Ernestine Ottilie Henr.
"Goetsch, Anna",Goetsch,Anna,,,Goetsch Anna
"Goetz, Margarete",Goetz,Margarete,,,Goetz Margarete
"Goetze, Anna",Goetze,Anna,,,Goetze Anna
"Goetze, Frl. Auguste",Goetze,Auguste,Frl.,,Goetze Auguste
"Goetze, Auguste",Goetze,Auguste,,,Goetze Auguste
